,tweet_id,whole_tweet,favorite_count,retweet_count,followers_count,friends_count,source,retweeted_status,url
0,892420643555336193,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,38257,8381,7437146,10,Twitter for iPhone,Original tweet,https://t.co/MgUWQ76dJU
1,892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boop… https://t.co/aQFSeaCu9L",32797,6188,7437146,10,Twitter for iPhone,Original tweet,https://t.co/aQFSeaCu9L
2,891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike.… https://t.co/r0YlrsGCgy,24696,4094,7437146,10,Twitter for iPhone,Original tweet,https://t.co/r0YlrsGCgy
3,891689557279858688,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,41584,8522,7437146,10,Twitter for iPhone,Original tweet,https://t.co/tD36da7qLQ
4,891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected a… https://t.co/0g0KMIVXZ3",39765,9232,7437146,10,Twitter for iPhone,Original tweet,https://t.co/0g0KMIVXZ3
5,891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG:… https://t.co/xx5cilW0Dd,19956,3070,7437146,10,Twitter for iPhone,Original tweet,https://t.co/xx5cilW0Dd
6,890971913173991426,Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below… https://t.co/MV01Q820LT,11681,2038,7437146,10,Twitter for iPhone,Original tweet,https://t.co/MV01Q820LT
7,890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13… https://t.co/hrcFOGi12V,64577,18611,7437146,10,Twitter for iPhone,Original tweet,https://t.co/hrcFOGi12V
8,890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10… https://t.co/UkrdQyoYxV,27431,4213,7437146,10,Twitter for iPhone,Original tweet,https://t.co/UkrdQyoYxV
9,890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant… https://t.co/l3TSS3o2M0,31482,7279,7437146,10,Twitter for iPhone,Original tweet,https://t.co/l3TSS3o2M0
10,890006608113172480,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a pe… https://t.co/jy2alqaYPH,30255,7228,7437146,10,Twitter for iPhone,Original tweet,https://t.co/jy2alqaYPH
11,889880896479866881,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,27413,4903,7437146,10,Twitter for iPhone,Original tweet,https://t.co/u1XPQMl29g
12,889665388333682689,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,47487,9918,7437146,10,Twitter for iPhone,Original tweet,https://t.co/BxvuXk0UCm
13,889638837579907072,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,26804,4480,7437146,10,Twitter for iPhone,Original tweet,https://t.co/f8dEDcrKSR
14,889531135344209921,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo… https://t.co/Ya3bdfYuCx,14903,2209,7437146,10,Twitter for iPhone,Original tweet,https://t.co/Ya3bdfYuCx
15,889278841981685760,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*cki… https://t.co/qw5xRwBaIv,24916,5305,7437146,10,Twitter for iPhone,Original tweet,https://t.co/qw5xRwBaIv
16,888917238123831296,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,28692,4433,7437146,10,Twitter for iPhone,Original tweet,https://t.co/chxruIOUJN
17,888804989199671297,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 wou… https://t.co/L5cCoR2huQ,25230,4238,7437146,10,Twitter for iPhone,Original tweet,https://t.co/L5cCoR2huQ
18,888554962724278272,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,19584,3500,7437146,10,Twitter for iPhone,Original tweet,https://t.co/YnYAFCTTiK
19,888078434458587136,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want th… https://t.co/UibDBnVpvR,21475,3447,7437146,10,Twitter for iPhone,Original tweet,https://t.co/UibDBnVpvR
20,887705289381826560,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ck… https://t.co/m7BR4JgDrZ,29764,5317,7437146,10,Twitter for iPhone,Original tweet,https://t.co/m7BR4JgDrZ
21,887517139158093824,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) https://t.co/20VrLAA8ba,45656,11503,7437146,10,Twitter for iPhone,Original tweet,https://t.co/20VrLAA8ba
22,887473957103951883,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,68178,17932,7437146,10,Twitter for iPhone,Original tweet,https://t.co/cLyzpcUcMX
23,887343217045368832,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV,33231,10257,7437146,10,Twitter for iPhone,Original tweet,https://t.co/WZqNqygEyV
24,887101392804085760,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suff… https://t.co/UgW2xbO7Rg,30162,5883,7437146,10,Twitter for iPhone,Original tweet,https://t.co/UgW2xbO7Rg
